author_label,alt_human,generated_label
Inspirational Language,Motivational Rhetoric,Solidarity and Collective Action
Group Identity Debates,Collective Identity Discussions,Political Ideology and Activism
Neocolonialism,Neo-imperialism,Corporate Exploitation and Indigenous Resistance
Eco−Literature,Environmental Writing,Publications and Resources
News and Culture,Media and Society,Law and Society
Species Conservation,Wildlife Protection,Biodiversity Conservation
General Concern,Broad Anxiety,Environmental Nostalgia
Land Conservation,Habitat Preservation,Environmental and Indigenous Land Protection
Violent Protest,Militant Demonstration,Protest Policing and Clashes
Direct Action/Ecotage,Environmental Sabotage,Direct Action Campaigns
Occupation/Camps,Protest Encampments,Anti-Road Protests
Sustainable Societies,Green Communities,Social Ecology
International Terror,Global Terrorism,State Repression of Radical Activists
Admonishments,Reprimands,Personal Reflection
Anti−Capatalist Left,Socialist Left,Class Struggle Against Global Capitalism
